,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
58,qiskit,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,71.0,37.0,17.0,88.0,0.1,0.0,-0.01732158660888672,3.0
59,tpar,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,54.0,27.0,7.0,61.0,0.1,0.0,-0.07008695602416992,5.0
60,voqc,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,68.0,41.0,7.0,75.0,0.1,0.0,-0.10272955894470215,3.0
61,qfast,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,33.0,36.0,45.0,78.0,0.1,0.0,-4.459435701370239,11.0
62,pyzx,50.0,4.0,default/cnot_pr/i_8_cnot_pr_0.1,23.0,13.0,7.0,30.0,0.1,0.0,-0.058515071868896484,6.0
63,default,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,62.0,31.0,16.0,78.0,0.1,0.0,-4.76837158203125e-07,6.0
64,tket,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,26.0,12.0,6.0,32.0,0.1,0.0,-0.049158334732055664,5.0
65,qiskit,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,62.0,31.0,16.0,78.0,0.1,0.0,-0.016806364059448242,6.0
66,tpar,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,52.0,26.0,6.0,58.0,0.1,0.0,-0.07108163833618164,16.0
67,voqc,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,76.0,39.0,6.0,82.0,0.1,0.0,-0.10603499412536621,6.0
68,qfast,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,33.0,39.0,47.0,80.0,0.1,0.0,-4.569232702255249,11.0
69,pyzx,50.0,4.0,default/cnot_pr/i_9_cnot_pr_0.1,29.0,21.0,6.0,35.0,0.1,0.0,-0.06072521209716797,10.0
70,default,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,72.0,31.0,8.0,80.0,0.1,0.0,-7.152557373046875e-07,6.0
71,tket,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,35.0,13.0,4.0,39.0,0.1,0.0,-0.05086207389831543,5.0
72,qiskit,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,72.0,31.0,8.0,80.0,0.1,0.0,-0.01619553565979004,6.0
73,tpar,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,44.0,26.0,4.0,48.0,0.1,0.0,-0.06765389442443848,14.0
74,voqc,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,69.0,31.0,4.0,73.0,0.1,0.0,-0.10302090644836426,6.0
75,qfast,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,57.0,76.0,77.0,134.0,0.1,0.0,-16.82378077507019,19.0
76,pyzx,50.0,4.0,default/cnot_pr/i_10_cnot_pr_0.1,30.0,19.0,4.0,34.0,0.1,0.0,-0.058795928955078125,9.0
77,default,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,68.0,35.0,16.0,84.0,0.1,0.0,-7.152557373046875e-07,2.0
78,tket,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,26.0,14.0,9.0,35.0,0.1,0.0,-0.048258066177368164,2.0
79,qiskit,50.0,4.0,default/cnot_pr/i_11_cnot_pr_0.1,68.0,35.0,16.0,84.0,0.1,0.0,-0.016197681427001953,2.0
