,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
111,pyzx,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,32.0,27.0,7.0,39.0,0.1,0.0,-0.06298303604125977,8.0
112,default,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,67.0,31.0,13.0,80.0,0.1,0.0,-7.152557373046875e-07,2.0
113,tket,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,27.0,14.0,7.0,34.0,0.1,0.0,-0.10686159133911133,2.0
114,qiskit,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,67.0,31.0,13.0,80.0,0.1,0.0,-0.015814781188964844,2.0
115,tpar,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,51.0,30.0,9.0,60.0,0.1,0.0,-0.06803417205810547,8.0
116,voqc,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,80.0,44.0,9.0,89.0,0.1,0.0,-0.10404729843139648,2.0
117,qfast,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,24.0,36.0,34.0,58.0,0.1,0.0,-3.37833309173584,8.0
118,pyzx,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,18.0,11.0,7.0,25.0,0.1,0.0,-0.05578780174255371,2.0
119,default,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,28.0,12.0,82.0,0.1,0.0,-7.152557373046875e-07,6.0
120,tket,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,34.0,19.0,6.0,40.0,0.1,0.0,-0.10983943939208984,5.0
121,qiskit,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,28.0,12.0,82.0,0.1,0.0,-0.01770496368408203,6.0
122,tpar,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,68.0,36.0,6.0,74.0,0.1,0.0,-0.07354283332824707,22.0
123,voqc,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,70.0,35.0,6.0,76.0,0.1,0.0,-0.10437154769897461,6.0
124,qfast,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,24.0,45.0,34.0,58.0,0.1,0.0,-1.6840906143188477,8.0
125,pyzx,50.0,4.0,default/cnot_pr/i_17_cnot_pr_0.1,30.0,19.0,6.0,36.0,0.1,0.0,-0.05899953842163086,10.0
126,default,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,68.0,27.0,14.0,82.0,0.1,0.0,-7.152557373046875e-07,4.0
127,tket,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,25.0,12.0,4.0,29.0,0.1,0.0,-0.04921412467956543,3.0
128,qiskit,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,68.0,27.0,14.0,82.0,0.1,0.0,-0.07618308067321777,4.0
129,tpar,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,58.0,19.0,4.0,62.0,0.1,0.0,-0.06789231300354004,6.0
130,voqc,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,59.0,29.0,4.0,63.0,0.1,0.0,-0.10039281845092773,4.0
131,qfast,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,24.0,41.0,32.0,56.0,0.1,0.0,-2.440589189529419,8.0
132,pyzx,50.0,4.0,default/cnot_pr/i_18_cnot_pr_0.1,32.0,19.0,4.0,36.0,0.1,0.0,-0.05787801742553711,11.0
133,default,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,69.0,33.0,17.0,86.0,0.1,0.0,-4.76837158203125e-07,6.0
134,tket,50.0,4.0,default/cnot_pr/i_19_cnot_pr_0.1,35.0,16.0,5.0,40.0,0.1,0.0,-0.04981565475463867,4.0
