,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
85,tket,50.0,4.0,default/gate_count/i_12_cnt_50,53.0,33.0,7.0,60.0,0.0,0.0,-0.05758857727050781,12.0
86,qiskit,50.0,4.0,default/gate_count/i_12_cnt_50,71.0,38.0,7.0,78.0,0.0,0.0,-0.02284550666809082,17.0
87,tpar,50.0,4.0,default/gate_count/i_12_cnt_50,66.0,44.0,7.0,73.0,0.0,0.0,-0.07697534561157227,26.0
88,voqc,50.0,4.0,default/gate_count/i_12_cnt_50,96.0,51.0,7.0,103.0,0.0,0.0,-0.1226053237915039,17.0
89,qfast,50.0,4.0,default/gate_count/i_12_cnt_50,66.0,101.0,88.0,154.0,0.0,0.0,-20.117275714874268,22.0
90,pyzx,50.0,4.0,default/gate_count/i_12_cnt_50,43.0,36.0,7.0,50.0,0.0,0.0,-0.06885337829589844,20.0
91,default,50.0,4.0,default/gate_count/i_13_cnt_50,71.0,40.0,11.0,82.0,0.0,0.0,-7.152557373046875e-07,12.0
92,tket,50.0,4.0,default/gate_count/i_13_cnt_50,47.0,31.0,8.0,55.0,0.0,0.0,-0.05731940269470215,8.0
93,qiskit,50.0,4.0,default/gate_count/i_13_cnt_50,71.0,40.0,11.0,82.0,0.0,0.0,-0.019654035568237305,12.0
94,tpar,50.0,4.0,default/gate_count/i_13_cnt_50,70.0,42.0,5.0,75.0,0.0,0.0,-0.07834839820861816,25.0
95,voqc,50.0,4.0,default/gate_count/i_13_cnt_50,104.0,58.0,5.0,109.0,0.0,0.0,-0.12004542350769043,12.0
96,qfast,50.0,4.0,default/gate_count/i_13_cnt_50,51.0,76.0,67.0,118.0,0.0,0.0,-6.269185304641724,17.0
97,pyzx,50.0,4.0,default/gate_count/i_13_cnt_50,27.0,17.0,5.0,32.0,0.0,0.0,-0.06307268142700195,12.0
98,default,50.0,4.0,default/gate_count/i_14_cnt_50,74.0,34.0,10.0,84.0,0.0,0.0,-4.76837158203125e-07,13.0
99,tket,50.0,4.0,default/gate_count/i_14_cnt_50,41.0,25.0,4.0,45.0,0.0,0.0,-0.05640053749084473,10.0
100,qiskit,50.0,4.0,default/gate_count/i_14_cnt_50,74.0,34.0,10.0,84.0,0.0,0.0,-0.02092146873474121,13.0
101,tpar,50.0,4.0,default/gate_count/i_14_cnt_50,78.0,46.0,4.0,82.0,0.0,0.0,-0.07850456237792969,25.0
102,voqc,50.0,4.0,default/gate_count/i_14_cnt_50,92.0,46.0,4.0,96.0,0.0,0.0,-0.11826491355895996,13.0
