,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
110,qfast,50.0,3.0,default/qubits/i_15_num_qubits_3,28.0,37.0,29.0,57.0,0.0,0.0,-1.3535537719726562,9.0
111,pyzx,50.0,3.0,default/qubits/i_15_num_qubits_3,24.0,21.0,4.0,28.0,0.0,0.0,-0.05646371841430664,10.0
112,default,50.0,3.0,default/qubits/i_16_num_qubits_3,64.0,43.0,12.0,76.0,0.0,0.0,-7.152557373046875e-07,11.0
113,tket,50.0,3.0,default/qubits/i_16_num_qubits_3,41.0,28.0,4.0,45.0,0.0,0.0,-0.053228139877319336,5.0
114,qiskit,50.0,3.0,default/qubits/i_16_num_qubits_3,64.0,43.0,12.0,76.0,0.0,0.0,-0.01693439483642578,11.0
115,tpar,50.0,3.0,default/qubits/i_16_num_qubits_3,40.0,36.0,4.0,44.0,0.0,0.0,-0.1281275749206543,17.0
116,voqc,50.0,3.0,default/qubits/i_16_num_qubits_3,51.0,43.0,4.0,55.0,0.0,0.0,-0.098907470703125,9.0
117,qfast,50.0,3.0,default/qubits/i_16_num_qubits_3,25.0,27.0,20.0,45.0,0.0,0.0,-0.46900320053100586,7.0
118,pyzx,50.0,3.0,default/qubits/i_16_num_qubits_3,26.0,22.0,4.0,30.0,0.0,0.0,-0.057518959045410156,11.0
119,default,50.0,3.0,default/qubits/i_17_num_qubits_3,61.0,41.0,11.0,72.0,0.0,0.0,-4.76837158203125e-07,13.0
120,tket,50.0,3.0,default/qubits/i_17_num_qubits_3,42.0,29.0,8.0,50.0,0.0,0.0,-0.052674055099487305,8.0
121,qiskit,50.0,3.0,default/qubits/i_17_num_qubits_3,59.0,41.0,11.0,70.0,0.0,0.0,-0.017893552780151367,11.0
122,tpar,50.0,3.0,default/qubits/i_17_num_qubits_3,66.0,46.0,5.0,71.0,0.0,0.0,-0.13490891456604004,24.0
123,voqc,50.0,3.0,default/qubits/i_17_num_qubits_3,74.0,54.0,5.0,79.0,0.0,0.0,-0.10499382019042969,11.0
124,qfast,50.0,3.0,default/qubits/i_17_num_qubits_3,21.0,33.0,24.0,45.0,0.0,0.0,-0.39862823486328125,7.0
125,pyzx,50.0,3.0,default/qubits/i_17_num_qubits_3,32.0,25.0,5.0,37.0,0.0,0.0,-0.06244301795959473,14.0
126,default,50.0,3.0,default/qubits/i_18_num_qubits_3,58.0,41.0,16.0,74.0,0.0,0.0,-9.5367431640625e-07,8.0
127,tket,50.0,3.0,default/qubits/i_18_num_qubits_3,44.0,29.0,10.0,54.0,0.0,0.0,-0.05110955238342285,7.0
128,qiskit,50.0,3.0,default/qubits/i_18_num_qubits_3,58.0,41.0,16.0,74.0,0.0,0.0,-0.017289400100708008,8.0
129,tpar,50.0,3.0,default/qubits/i_18_num_qubits_3,61.0,46.0,10.0,71.0,0.0,0.0,-0.13258624076843262,20.0
130,voqc,50.0,3.0,default/qubits/i_18_num_qubits_3,70.0,54.0,10.0,80.0,0.0,0.0,-0.10475301742553711,8.0
131,qfast,50.0,3.0,default/qubits/i_18_num_qubits_3,27.0,40.0,30.0,57.0,0.0,0.0,-1.3726842403411865,9.0
132,pyzx,50.0,3.0,default/qubits/i_18_num_qubits_3,41.0,39.0,10.0,51.0,0.0,0.0,-0.0726311206817627,17.0
133,default,50.0,3.0,default/qubits/i_19_num_qubits_3,66.0,45.0,10.0,76.0,0.0,0.0,-4.76837158203125e-07,13.0
134,tket,50.0,3.0,default/qubits/i_19_num_qubits_3,52.0,40.0,8.0,60.0,0.0,0.0,-0.05502009391784668,10.0
135,qiskit,50.0,3.0,default/qubits/i_19_num_qubits_3,66.0,45.0,10.0,76.0,0.0,0.0,-0.01900625228881836,13.0
136,tpar,50.0,3.0,default/qubits/i_19_num_qubits_3,82.0,68.0,8.0,90.0,0.0,0.0,-0.13806772232055664,39.0
137,voqc,50.0,3.0,default/qubits/i_19_num_qubits_3,94.0,62.0,8.0,102.0,0.0,0.0,-0.11287164688110352,13.0
138,qfast,50.0,3.0,default/qubits/i_19_num_qubits_3,24.0,32.0,27.0,51.0,0.0,0.0,-1.2584567070007324,8.0
139,pyzx,50.0,3.0,default/qubits/i_19_num_qubits_3,38.0,33.0,8.0,46.0,0.0,0.0,-0.06456518173217773,19.0
140,default,50.0,3.0,default/qubits/i_20_num_qubits_3,61.0,39.0,11.0,72.0,0.0,0.0,-9.5367431640625e-07,14.0
141,tket,50.0,3.0,default/qubits/i_20_num_qubits_3,39.0,29.0,3.0,42.0,0.0,0.0,-0.05317974090576172,8.0
142,qiskit,50.0,3.0,default/qubits/i_20_num_qubits_3,61.0,39.0,11.0,72.0,0.0,0.0,-0.01722097396850586,14.0
143,tpar,50.0,3.0,default/qubits/i_20_num_qubits_3,59.0,42.0,3.0,62.0,0.0,0.0,-0.12950515747070312,19.0
144,voqc,50.0,3.0,default/qubits/i_20_num_qubits_3,90.0,57.0,3.0,93.0,0.0,0.0,-0.10929679870605469,14.0
145,qfast,50.0,3.0,default/qubits/i_20_num_qubits_3,24.0,35.0,27.0,51.0,0.0,0.0,-0.8825101852416992,8.0
