,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
58,qiskit,50.0,4.0,default/tprob/i_8_t_pr_0.1,86.0,42.0,4.0,90.0,0.0,0.1,-0.020647287368774414,11.0
59,tpar,50.0,4.0,default/tprob/i_8_t_pr_0.1,76.0,42.0,2.0,78.0,0.0,0.1,-0.07352662086486816,27.0
60,voqc,50.0,4.0,default/tprob/i_8_t_pr_0.1,106.0,54.0,2.0,108.0,0.0,0.1,-0.11228060722351074,11.0
61,qfast,50.0,4.0,default/tprob/i_8_t_pr_0.1,48.0,63.0,64.0,112.0,0.0,0.1,-12.861714363098145,16.0
62,pyzx,50.0,4.0,default/tprob/i_8_t_pr_0.1,39.0,30.0,2.0,41.0,0.0,0.1,-0.12316250801086426,19.0
63,default,50.0,4.0,default/tprob/i_9_t_pr_0.1,82.0,44.0,6.0,88.0,0.0,0.1,-4.76837158203125e-07,12.0
64,tket,50.0,4.0,default/tprob/i_9_t_pr_0.1,47.0,22.0,7.0,54.0,0.0,0.1,-0.05511641502380371,9.0
65,qiskit,50.0,4.0,default/tprob/i_9_t_pr_0.1,82.0,44.0,6.0,88.0,0.0,0.1,-0.02019476890563965,12.0
66,tpar,50.0,4.0,default/tprob/i_9_t_pr_0.1,77.0,49.0,4.0,81.0,0.0,0.1,-0.07682323455810547,29.0
67,voqc,50.0,4.0,default/tprob/i_9_t_pr_0.1,100.0,53.0,4.0,104.0,0.0,0.1,-0.1120595932006836,12.0
68,qfast,50.0,4.0,default/tprob/i_9_t_pr_0.1,54.0,86.0,70.0,124.0,0.0,0.1,-7.340333938598633,18.0
69,pyzx,50.0,4.0,default/tprob/i_9_t_pr_0.1,38.0,28.0,4.0,42.0,0.0,0.1,-0.1253037452697754,16.0
70,default,50.0,4.0,default/tprob/i_10_t_pr_0.1,70.0,31.0,10.0,80.0,0.0,0.1,-7.152557373046875e-07,9.0
71,tket,50.0,4.0,default/tprob/i_10_t_pr_0.1,45.0,23.0,6.0,51.0,0.0,0.1,-0.05164504051208496,8.0
72,qiskit,50.0,4.0,default/tprob/i_10_t_pr_0.1,70.0,31.0,10.0,80.0,0.0,0.1,-0.019199371337890625,9.0
73,tpar,50.0,4.0,default/tprob/i_10_t_pr_0.1,65.0,39.0,8.0,73.0,0.0,0.1,-0.07396364212036133,19.0
74,voqc,50.0,4.0,default/tprob/i_10_t_pr_0.1,102.0,52.0,8.0,110.0,0.0,0.1,-0.11284303665161133,9.0
75,qfast,50.0,4.0,default/tprob/i_10_t_pr_0.1,39.0,46.0,51.0,90.0,0.0,0.1,-7.284618139266968,13.0
76,pyzx,50.0,4.0,default/tprob/i_10_t_pr_0.1,28.0,18.0,4.0,32.0,0.0,0.1,-0.12310934066772461,12.0
77,default,50.0,4.0,default/tprob/i_11_t_pr_0.1,76.0,45.0,6.0,82.0,0.0,0.1,-9.5367431640625e-07,14.0
78,tket,50.0,4.0,default/tprob/i_11_t_pr_0.1,51.0,37.0,8.0,59.0,0.0,0.1,-0.05481672286987305,11.0
79,qiskit,50.0,4.0,default/tprob/i_11_t_pr_0.1,76.0,45.0,6.0,82.0,0.0,0.1,-0.018793582916259766,14.0
80,tpar,50.0,4.0,default/tprob/i_11_t_pr_0.1,84.0,55.0,6.0,90.0,0.0,0.1,-0.07695960998535156,35.0
81,voqc,50.0,4.0,default/tprob/i_11_t_pr_0.1,82.0,52.0,6.0,88.0,0.0,0.1,-0.10938286781311035,14.0
82,qfast,50.0,4.0,default/tprob/i_11_t_pr_0.1,66.0,96.0,84.0,150.0,0.0,0.1,-22.921759843826294,22.0
83,pyzx,50.0,4.0,default/tprob/i_11_t_pr_0.1,36.0,31.0,6.0,42.0,0.0,0.1,-0.12350773811340332,17.0
84,default,50.0,4.0,default/tprob/i_12_t_pr_0.1,79.0,34.0,3.0,82.0,0.0,0.1,-4.76837158203125e-07,10.0
85,tket,50.0,4.0,default/tprob/i_12_t_pr_0.1,39.0,19.0,4.0,43.0,0.0,0.1,-0.05335497856140137,4.0
86,qiskit,50.0,4.0,default/tprob/i_12_t_pr_0.1,79.0,34.0,3.0,82.0,0.0,0.1,-0.018818378448486328,10.0
87,tpar,50.0,4.0,default/tprob/i_12_t_pr_0.1,89.0,48.0,3.0,92.0,0.0,0.1,-0.07855463027954102,33.0
88,voqc,50.0,4.0,default/tprob/i_12_t_pr_0.1,92.0,39.0,3.0,95.0,0.0,0.1,-0.1098031997680664,10.0
89,qfast,50.0,4.0,default/tprob/i_12_t_pr_0.1,30.0,46.0,40.0,70.0,0.0,0.1,-5.359237194061279,10.0
90,pyzx,50.0,4.0,default/tprob/i_12_t_pr_0.1,31.0,21.0,3.0,34.0,0.0,0.1,-0.12345695495605469,13.0
