,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,time_diff[s],two_qubit_count
94,tpar,70.0,4.0,gate_count/i_1_cnt_70,101.0,76.0,9.0,110.0,-0.163496732711792,58.0
95,voqc,70.0,4.0,gate_count/i_1_cnt_70,75.0,44.0,9.0,84.0,-0.25204992294311523,18.0
96,qfast,70.0,4.0,gate_count/i_1_cnt_70,66.0,89.0,86.0,152.0,-12.04035997390747,22.0
97,pyzx,70.0,4.0,gate_count/i_1_cnt_70,43.0,33.0,9.0,52.0,-0.09773612022399902,20.0
98,default,80.0,4.0,gate_count/i_0_cnt_80,117.0,72.0,17.0,134.0,-9.775161743164062e-06,17.0
99,tket,80.0,4.0,gate_count/i_0_cnt_80,65.0,41.0,9.0,74.0,-0.09243178367614746,10.0
100,qiskit,80.0,4.0,gate_count/i_0_cnt_80,115.0,67.0,17.0,132.0,-0.0451512336730957,15.0
101,tpar,80.0,4.0,gate_count/i_0_cnt_80,112.0,75.0,11.0,123.0,-0.22586321830749512,27.0
102,voqc,80.0,4.0,gate_count/i_0_cnt_80,132.0,95.0,11.0,143.0,-0.19219231605529785,15.0
103,qfast,80.0,4.0,gate_count/i_0_cnt_80,51.0,76.0,67.0,118.0,-10.754765033721924,17.0
104,pyzx,80.0,4.0,gate_count/i_0_cnt_80,48.0,39.0,7.0,55.0,-0.10575151443481445,24.0
105,default,80.0,4.0,gate_count/i_1_cnt_80,88.0,60.0,28.0,116.0,-8.821487426757812e-06,18.0
106,tket,80.0,4.0,gate_count/i_1_cnt_80,54.0,32.0,8.0,62.0,-0.08248496055603027,10.0
107,qiskit,80.0,4.0,gate_count/i_1_cnt_80,86.0,58.0,28.0,114.0,-0.04115104675292969,16.0
108,tpar,80.0,4.0,gate_count/i_1_cnt_80,94.0,68.0,8.0,102.0,-0.240342378616333,40.0
109,voqc,80.0,4.0,gate_count/i_1_cnt_80,124.0,84.0,8.0,132.0,-0.20697927474975586,16.0
110,qfast,80.0,4.0,gate_count/i_1_cnt_80,54.0,81.0,72.0,126.0,-19.855258464813232,18.0
111,pyzx,80.0,4.0,gate_count/i_1_cnt_80,50.0,41.0,6.0,56.0,-0.10814499855041504,27.0
112,default,90.0,4.0,gate_count/i_0_cnt_90,100.0,62.0,26.0,126.0,-9.5367431640625e-06,27.0
113,tket,90.0,4.0,gate_count/i_0_cnt_90,73.0,44.0,14.0,87.0,-0.16313433647155762,21.0
114,qiskit,90.0,4.0,gate_count/i_0_cnt_90,100.0,62.0,26.0,126.0,-0.06989622116088867,27.0
115,tpar,90.0,4.0,gate_count/i_0_cnt_90,158.0,114.0,10.0,168.0,-0.1528010368347168,95.0
116,voqc,90.0,4.0,gate_count/i_0_cnt_90,132.0,79.0,10.0,142.0,-0.17809319496154785,25.0
117,qfast,90.0,4.0,gate_count/i_0_cnt_90,111.0,145.0,141.0,252.0,-223.18258595466614,37.0
118,pyzx,90.0,4.0,gate_count/i_0_cnt_90,57.0,55.0,10.0,67.0,-0.12491297721862793,30.0
119,default,90.0,4.0,gate_count/i_1_cnt_90,114.0,68.0,22.0,136.0,-6.4373016357421875e-06,25.0
120,tket,90.0,4.0,gate_count/i_1_cnt_90,73.0,45.0,10.0,83.0,-0.09417366981506348,19.0
121,qiskit,90.0,4.0,gate_count/i_1_cnt_90,114.0,68.0,22.0,136.0,-0.04604792594909668,25.0
122,tpar,90.0,4.0,gate_count/i_1_cnt_90,118.0,78.0,10.0,128.0,-0.1550614833831787,52.0
123,voqc,90.0,4.0,gate_count/i_1_cnt_90,144.0,87.0,10.0,154.0,-0.19060015678405762,25.0
124,qfast,90.0,4.0,gate_count/i_1_cnt_90,81.0,110.0,105.0,186.0,-47.49225640296936,27.0
125,pyzx,90.0,4.0,gate_count/i_1_cnt_90,47.0,41.0,10.0,57.0,-0.1867532730102539,25.0
126,default,100.0,4.0,gate_count/i_0_cnt_100,132.0,71.0,18.0,150.0,-8.344650268554688e-06,28.0
127,tket,100.0,4.0,gate_count/i_0_cnt_100,76.0,67.0,15.0,91.0,-0.10940766334533691,21.0
128,qiskit,100.0,4.0,gate_count/i_0_cnt_100,130.0,71.0,18.0,148.0,-0.058428287506103516,26.0
129,tpar,100.0,4.0,gate_count/i_0_cnt_100,142.0,95.0,12.0,154.0,-0.14102554321289062,60.0
130,voqc,100.0,4.0,gate_count/i_0_cnt_100,152.0,99.0,12.0,164.0,-0.22320914268493652,24.0
131,qfast,100.0,4.0,gate_count/i_0_cnt_100,111.0,168.0,145.0,256.0,-169.17999458312988,37.0
132,pyzx,100.0,4.0,gate_count/i_0_cnt_100,65.0,57.0,12.0,77.0,-0.12914776802062988,28.0
133,default,100.0,4.0,gate_count/i_1_cnt_100,122.0,66.0,26.0,148.0,-9.5367431640625e-06,27.0
134,tket,100.0,4.0,gate_count/i_1_cnt_100,63.0,45.0,8.0,71.0,-0.08820390701293945,18.0
135,qiskit,100.0,4.0,gate_count/i_1_cnt_100,120.0,64.0,26.0,146.0,-0.055531978607177734,25.0
136,tpar,100.0,4.0,gate_count/i_1_cnt_100,121.0,81.0,8.0,129.0,-0.13360190391540527,63.0
137,voqc,100.0,4.0,gate_count/i_1_cnt_100,153.0,81.0,8.0,161.0,-0.2989633083343506,23.0
138,qfast,100.0,4.0,gate_count/i_1_cnt_100,54.0,72.0,74.0,128.0,-21.766467332839966,18.0
139,pyzx,100.0,4.0,gate_count/i_1_cnt_100,50.0,38.0,6.0,56.0,-0.08539414405822754,22.0
