,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
82,qfast,50.0,4.0,default/tprob/i_11_t_pr_0.1,72.0,95.0,77.0,149.0,0.0,0.1,-0.11422514915466309,22.0
83,pyzx,50.0,4.0,default/tprob/i_11_t_pr_0.1,62.0,45.0,6.0,68.0,0.0,0.1,-0.042801856994628906,17.0
84,default,50.0,4.0,default/tprob/i_12_t_pr_0.1,79.0,34.0,3.0,82.0,0.0,0.1,-0.04578804969787598,10.0
85,tket,50.0,4.0,default/tprob/i_12_t_pr_0.1,39.0,19.0,4.0,43.0,0.0,0.1,-0.10025930404663086,4.0
86,qiskit,50.0,4.0,default/tprob/i_12_t_pr_0.1,79.0,34.0,3.0,82.0,0.0,0.1,-0.04537487030029297,10.0
87,tpar,50.0,4.0,default/tprob/i_12_t_pr_0.1,89.0,48.0,3.0,92.0,0.0,0.1,-0.048052310943603516,33.0
88,voqc,50.0,4.0,default/tprob/i_12_t_pr_0.1,92.0,39.0,3.0,95.0,0.0,0.1,-0.0469357967376709,10.0
89,qfast,50.0,4.0,default/tprob/i_12_t_pr_0.1,34.0,46.0,36.0,70.0,0.0,0.1,-0.04777646064758301,10.0
90,pyzx,50.0,4.0,default/tprob/i_12_t_pr_0.1,45.0,26.0,3.0,48.0,0.0,0.1,-0.0418241024017334,13.0
91,default,50.0,4.0,default/tprob/i_13_t_pr_0.1,74.0,39.0,4.0,78.0,0.0,0.1,-0.04588747024536133,23.0
92,tket,50.0,4.0,default/tprob/i_13_t_pr_0.1,50.0,28.0,4.0,54.0,0.0,0.1,-0.04363059997558594,16.0
93,qiskit,50.0,4.0,default/tprob/i_13_t_pr_0.1,74.0,39.0,4.0,78.0,0.0,0.1,-0.045937299728393555,23.0
94,tpar,50.0,4.0,default/tprob/i_13_t_pr_0.1,83.0,58.0,4.0,87.0,0.0,0.1,-0.04746842384338379,41.0
95,voqc,50.0,4.0,default/tprob/i_13_t_pr_0.1,113.0,60.0,4.0,117.0,0.0,0.1,-0.1048891544342041,23.0
