,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
67,voqc,50.0,4.0,default/gate_count/i_9_cnt_50,92.0,48.0,12.0,104.0,0.0,0.0,-0.04755043983459473,12.0
68,qfast,50.0,4.0,default/gate_count/i_9_cnt_50,70.0,96.0,68.0,138.0,0.0,0.0,-0.11215424537658691,20.0
69,pyzx,50.0,4.0,default/gate_count/i_9_cnt_50,78.0,56.0,8.0,86.0,0.0,0.0,-0.04477691650390625,24.0
70,default,50.0,4.0,default/gate_count/i_10_cnt_50,74.0,42.0,6.0,80.0,0.0,0.0,-0.04549241065979004,13.0
71,tket,50.0,4.0,default/gate_count/i_10_cnt_50,35.0,18.0,4.0,39.0,0.0,0.0,-0.04210472106933594,4.0
72,qiskit,50.0,4.0,default/gate_count/i_10_cnt_50,70.0,38.0,6.0,76.0,0.0,0.0,-0.0456693172454834,9.0
73,tpar,50.0,4.0,default/gate_count/i_10_cnt_50,72.0,44.0,4.0,76.0,0.0,0.0,-0.046492815017700195,28.0
74,voqc,50.0,4.0,default/gate_count/i_10_cnt_50,85.0,58.0,4.0,89.0,0.0,0.0,-0.1012563705444336,9.0
75,qfast,50.0,4.0,default/gate_count/i_10_cnt_50,32.0,31.0,38.0,70.0,0.0,0.0,-0.04880070686340332,10.0
76,pyzx,50.0,4.0,default/gate_count/i_10_cnt_50,40.0,30.0,4.0,44.0,0.0,0.0,-0.04177284240722656,12.0
77,default,50.0,4.0,default/gate_count/i_11_cnt_50,58.0,30.0,12.0,70.0,0.0,0.0,-0.09900760650634766,13.0
78,tket,50.0,4.0,default/gate_count/i_11_cnt_50,52.0,32.0,10.0,62.0,0.0,0.0,-0.045084476470947266,11.0
79,qiskit,50.0,4.0,default/gate_count/i_11_cnt_50,58.0,30.0,12.0,70.0,0.0,0.0,-0.04471611976623535,13.0
80,tpar,50.0,4.0,default/gate_count/i_11_cnt_50,74.0,54.0,8.0,82.0,0.0,0.0,-0.04753756523132324,40.0
81,voqc,50.0,4.0,default/gate_count/i_11_cnt_50,64.0,42.0,8.0,72.0,0.0,0.0,-0.0455935001373291,13.0
82,qfast,50.0,4.0,default/gate_count/i_11_cnt_50,48.0,71.0,50.0,98.0,0.0,0.0,-0.05230379104614258,14.0
83,pyzx,50.0,4.0,default/gate_count/i_11_cnt_50,69.0,49.0,6.0,75.0,0.0,0.0,-0.0433650016784668,21.0
84,default,50.0,4.0,default/gate_count/i_12_cnt_50,73.0,40.0,7.0,80.0,0.0,0.0,-0.046098947525024414,19.0
85,tket,50.0,4.0,default/gate_count/i_12_cnt_50,53.0,33.0,7.0,60.0,0.0,0.0,-0.04446840286254883,12.0
86,qiskit,50.0,4.0,default/gate_count/i_12_cnt_50,71.0,38.0,7.0,78.0,0.0,0.0,-0.046057939529418945,17.0
87,tpar,50.0,4.0,default/gate_count/i_12_cnt_50,66.0,44.0,7.0,73.0,0.0,0.0,-0.10210871696472168,26.0
88,voqc,50.0,4.0,default/gate_count/i_12_cnt_50,96.0,51.0,7.0,103.0,0.0,0.0,-0.04790234565734863,17.0
89,qfast,50.0,4.0,default/gate_count/i_12_cnt_50,73.0,100.0,80.0,153.0,0.0,0.0,-0.060452938079833984,22.0
90,pyzx,50.0,4.0,default/gate_count/i_12_cnt_50,67.0,49.0,7.0,74.0,0.0,0.0,-0.09901738166809082,20.0
91,default,50.0,4.0,default/gate_count/i_13_cnt_50,71.0,40.0,11.0,82.0,0.0,0.0,-0.04501962661743164,12.0
92,tket,50.0,4.0,default/gate_count/i_13_cnt_50,47.0,31.0,8.0,55.0,0.0,0.0,-0.04315066337585449,8.0
93,qiskit,50.0,4.0,default/gate_count/i_13_cnt_50,71.0,40.0,11.0,82.0,0.0,0.0,-0.10330843925476074,12.0
94,tpar,50.0,4.0,default/gate_count/i_13_cnt_50,70.0,42.0,5.0,75.0,0.0,0.0,-0.046912431716918945,25.0
95,voqc,50.0,4.0,default/gate_count/i_13_cnt_50,104.0,58.0,5.0,109.0,0.0,0.0,-0.048584699630737305,12.0
96,qfast,50.0,4.0,default/gate_count/i_13_cnt_50,56.0,74.0,59.0,115.0,0.0,0.0,-0.05507326126098633,17.0
97,pyzx,50.0,4.0,default/gate_count/i_13_cnt_50,39.0,24.0,5.0,44.0,0.0,0.0,-0.04136061668395996,12.0
98,default,50.0,4.0,default/gate_count/i_14_cnt_50,74.0,34.0,10.0,84.0,0.0,0.0,-0.04558587074279785,13.0
99,tket,50.0,4.0,default/gate_count/i_14_cnt_50,41.0,25.0,4.0,45.0,0.0,0.0,-0.04271960258483887,10.0
100,qiskit,50.0,4.0,default/gate_count/i_14_cnt_50,74.0,34.0,10.0,84.0,0.0,0.0,-0.04620194435119629,13.0
101,tpar,50.0,4.0,default/gate_count/i_14_cnt_50,78.0,46.0,4.0,82.0,0.0,0.0,-0.046804189682006836,25.0
102,voqc,50.0,4.0,default/gate_count/i_14_cnt_50,92.0,46.0,4.0,96.0,0.0,0.0,-0.04699277877807617,13.0
103,qfast,50.0,4.0,default/gate_count/i_14_cnt_50,50.0,70.0,58.0,108.0,0.0,0.0,-0.05381274223327637,15.0
104,pyzx,50.0,4.0,default/gate_count/i_14_cnt_50,69.0,41.0,4.0,73.0,0.0,0.0,-0.042962074279785156,18.0
105,default,50.0,4.0,default/gate_count/i_15_cnt_50,72.0,44.0,14.0,86.0,0.0,0.0,-0.04535317420959473,10.0
106,tket,50.0,4.0,default/gate_count/i_15_cnt_50,33.0,18.0,9.0,42.0,0.0,0.0,-0.042209625244140625,5.0
107,qiskit,50.0,4.0,default/gate_count/i_15_cnt_50,70.0,41.0,14.0,84.0,0.0,0.0,-0.045455217361450195,8.0
108,tpar,50.0,4.0,default/gate_count/i_15_cnt_50,46.0,31.0,6.0,52.0,0.0,0.0,-0.042999267578125,11.0
109,voqc,50.0,4.0,default/gate_count/i_15_cnt_50,76.0,44.0,6.0,82.0,0.0,0.0,-0.10163688659667969,8.0
110,qfast,50.0,4.0,default/gate_count/i_15_cnt_50,35.0,48.0,35.0,70.0,0.0,0.0,-0.048865318298339844,10.0
111,pyzx,50.0,4.0,default/gate_count/i_15_cnt_50,57.0,33.0,6.0,63.0,0.0,0.0,-0.042818546295166016,14.0
112,default,50.0,4.0,default/gate_count/i_16_cnt_50,59.0,36.0,9.0,68.0,0.0,0.0,-0.09849953651428223,18.0
113,tket,50.0,4.0,default/gate_count/i_16_cnt_50,44.0,26.0,7.0,51.0,0.0,0.0,-0.04320502281188965,11.0
114,qiskit,50.0,4.0,default/gate_count/i_16_cnt_50,57.0,36.0,9.0,66.0,0.0,0.0,-0.04460477828979492,16.0
115,tpar,50.0,4.0,default/gate_count/i_16_cnt_50,67.0,39.0,7.0,74.0,0.0,0.0,-0.045900583267211914,31.0
116,voqc,50.0,4.0,default/gate_count/i_16_cnt_50,70.0,46.0,7.0,77.0,0.0,0.0,-0.046039581298828125,14.0
117,qfast,50.0,4.0,default/gate_count/i_16_cnt_50,57.0,67.0,56.0,113.0,0.0,0.0,-0.05535721778869629,16.0
118,pyzx,50.0,4.0,default/gate_count/i_16_cnt_50,57.0,40.0,7.0,64.0,0.0,0.0,-0.04333996772766113,18.0
119,default,50.0,4.0,default/gate_count/i_17_cnt_50,67.0,35.0,11.0,78.0,0.0,0.0,-0.0454256534576416,14.0
