,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
93,qiskit,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,61.0,31.0,17.0,78.0,0.1,0.0,-0.045333147048950195,3.0
94,tpar,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,46.0,24.0,9.0,55.0,0.1,0.0,-0.043320417404174805,3.0
95,voqc,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,88.0,43.0,9.0,97.0,0.1,0.0,-0.04681515693664551,3.0
96,qfast,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,26.0,36.0,24.0,50.0,0.1,0.0,-0.04525423049926758,7.0
97,pyzx,50.0,4.0,default/cnot_pr/i_13_cnot_pr_0.1,30.0,17.0,9.0,39.0,0.1,0.0,-0.041057586669921875,4.0
98,default,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,80.0,33.0,12.0,92.0,0.1,0.0,-0.046059370040893555,3.0
99,tket,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,28.0,15.0,6.0,34.0,0.1,0.0,-0.04119992256164551,3.0
100,qiskit,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,80.0,33.0,12.0,92.0,0.1,0.0,-0.04586482048034668,3.0
101,tpar,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,55.0,24.0,8.0,63.0,0.1,0.0,-0.09978747367858887,5.0
102,voqc,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,93.0,41.0,8.0,101.0,0.1,0.0,-0.047333717346191406,3.0
103,qfast,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,18.0,26.0,20.0,38.0,0.1,0.0,-0.043932437896728516,5.0
104,pyzx,50.0,4.0,default/cnot_pr/i_14_cnot_pr_0.1,35.0,29.0,6.0,41.0,0.1,0.0,-0.041699886322021484,11.0
105,default,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,69.0,38.0,13.0,82.0,0.1,0.0,-0.04497241973876953,5.0
106,tket,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,35.0,23.0,7.0,42.0,0.1,0.0,-0.04250025749206543,5.0
107,qiskit,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,69.0,38.0,13.0,82.0,0.1,0.0,-0.045706987380981445,5.0
108,tpar,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,61.0,39.0,9.0,70.0,0.1,0.0,-0.045075178146362305,15.0
109,voqc,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,95.0,56.0,9.0,104.0,0.1,0.0,-0.046953439712524414,5.0
110,qfast,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,60.0,66.0,69.0,129.0,0.1,0.0,-0.056912899017333984,19.0
111,pyzx,50.0,4.0,default/cnot_pr/i_15_cnot_pr_0.1,48.0,34.0,7.0,55.0,0.1,0.0,-0.041962385177612305,8.0
112,default,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,67.0,31.0,13.0,80.0,0.1,0.0,-0.04511690139770508,2.0
113,tket,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,27.0,14.0,7.0,34.0,0.1,0.0,-0.04120278358459473,2.0
114,qiskit,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,67.0,31.0,13.0,80.0,0.1,0.0,-0.10257935523986816,2.0
115,tpar,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,51.0,30.0,9.0,60.0,0.1,0.0,-0.043561697006225586,8.0
116,voqc,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,80.0,44.0,9.0,89.0,0.1,0.0,-0.0456545352935791,2.0
117,qfast,50.0,4.0,default/cnot_pr/i_16_cnot_pr_0.1,28.0,36.0,30.0,58.0,0.1,0.0,-0.10404419898986816,8.0
