,algorithm,circ_num_gates,circ_q_count,circuit,clifford_count,depth,non_clifford,overall_gate_count,p_cnot,p_t,time_diff[s],two_qubit_count
81,voqc,50.0,3.0,default/qubits/i_11_num_qubits_3,85.0,66.0,6.0,91.0,0.0,0.0,-0.04600715637207031,7.0
82,qfast,50.0,3.0,default/qubits/i_11_num_qubits_3,24.0,25.0,15.0,39.0,0.0,0.0,-0.04377889633178711,6.0
83,pyzx,50.0,3.0,default/qubits/i_11_num_qubits_3,52.0,41.0,6.0,58.0,0.0,0.0,-0.042092323303222656,14.0
84,default,50.0,3.0,default/qubits/i_12_num_qubits_3,79.0,44.0,9.0,88.0,0.0,0.0,-0.04555153846740723,8.0
85,tket,50.0,3.0,default/qubits/i_12_num_qubits_3,22.0,21.0,6.0,28.0,0.0,0.0,-0.04099440574645996,6.0
86,qiskit,50.0,3.0,default/qubits/i_12_num_qubits_3,79.0,44.0,9.0,88.0,0.0,0.0,-0.04579615592956543,8.0
87,tpar,50.0,3.0,default/qubits/i_12_num_qubits_3,72.0,44.0,7.0,79.0,0.0,0.0,-0.04571342468261719,19.0
88,voqc,50.0,3.0,default/qubits/i_12_num_qubits_3,70.0,57.0,7.0,77.0,0.0,0.0,-0.04555678367614746,8.0
89,qfast,50.0,3.0,default/qubits/i_12_num_qubits_3,29.0,30.0,16.0,45.0,0.0,0.0,-0.04503345489501953,7.0
90,pyzx,50.0,3.0,default/qubits/i_12_num_qubits_3,48.0,42.0,5.0,53.0,0.0,0.0,-0.0993349552154541,15.0
91,default,50.0,3.0,default/qubits/i_13_num_qubits_3,54.0,39.0,12.0,66.0,0.0,0.0,-0.04450869560241699,16.0
92,tket,50.0,3.0,default/qubits/i_13_num_qubits_3,36.0,24.0,4.0,40.0,0.0,0.0,-0.04191732406616211,7.0
93,qiskit,50.0,3.0,default/qubits/i_13_num_qubits_3,52.0,37.0,12.0,64.0,0.0,0.0,-0.04416203498840332,14.0
94,tpar,50.0,3.0,default/qubits/i_13_num_qubits_3,46.0,33.0,2.0,48.0,0.0,0.0,-0.043149471282958984,18.0
95,voqc,50.0,3.0,default/qubits/i_13_num_qubits_3,65.0,49.0,2.0,67.0,0.0,0.0,-0.04469418525695801,12.0
96,qfast,50.0,3.0,default/qubits/i_13_num_qubits_3,19.0,20.0,13.0,32.0,0.0,0.0,-0.04297971725463867,5.0
97,pyzx,50.0,3.0,default/qubits/i_13_num_qubits_3,33.0,22.0,2.0,35.0,0.0,0.0,-0.09789752960205078,8.0
98,default,50.0,3.0,default/qubits/i_14_num_qubits_3,51.0,40.0,19.0,70.0,0.0,0.0,-0.04517865180969238,12.0
99,tket,50.0,3.0,default/qubits/i_14_num_qubits_3,29.0,23.0,5.0,34.0,0.0,0.0,-0.0415949821472168,7.0
100,qiskit,50.0,3.0,default/qubits/i_14_num_qubits_3,47.0,39.0,19.0,66.0,0.0,0.0,-0.04444622993469238,8.0
101,tpar,50.0,3.0,default/qubits/i_14_num_qubits_3,49.0,42.0,7.0,56.0,0.0,0.0,-0.04415488243103027,18.0
102,voqc,50.0,3.0,default/qubits/i_14_num_qubits_3,70.0,51.0,7.0,77.0,0.0,0.0,-0.0455629825592041,8.0
103,qfast,50.0,3.0,default/qubits/i_14_num_qubits_3,27.0,25.0,11.0,38.0,0.0,0.0,-0.044115543365478516,6.0
104,pyzx,50.0,3.0,default/qubits/i_14_num_qubits_3,41.0,29.0,5.0,46.0,0.0,0.0,-0.09895014762878418,14.0
105,default,50.0,3.0,default/qubits/i_15_num_qubits_3,60.0,35.0,14.0,74.0,0.0,0.0,-0.04454994201660156,10.0
106,tket,50.0,3.0,default/qubits/i_15_num_qubits_3,43.0,27.0,8.0,51.0,0.0,0.0,-0.04302167892456055,5.0
107,qiskit,50.0,3.0,default/qubits/i_15_num_qubits_3,58.0,35.0,14.0,72.0,0.0,0.0,-0.10202193260192871,8.0
108,tpar,50.0,3.0,default/qubits/i_15_num_qubits_3,65.0,41.0,4.0,69.0,0.0,0.0,-0.04561924934387207,23.0
109,voqc,50.0,3.0,default/qubits/i_15_num_qubits_3,79.0,42.0,4.0,83.0,0.0,0.0,-0.045699357986450195,8.0
110,qfast,50.0,3.0,default/qubits/i_15_num_qubits_3,36.0,36.0,20.0,56.0,0.0,0.0,-0.04581737518310547,9.0
111,pyzx,50.0,3.0,default/qubits/i_15_num_qubits_3,38.0,25.0,4.0,42.0,0.0,0.0,-0.04090285301208496,10.0
112,default,50.0,3.0,default/qubits/i_16_num_qubits_3,64.0,43.0,12.0,76.0,0.0,0.0,-0.044831275939941406,11.0
113,tket,50.0,3.0,default/qubits/i_16_num_qubits_3,41.0,28.0,4.0,45.0,0.0,0.0,-0.0427858829498291,5.0
114,qiskit,50.0,3.0,default/qubits/i_16_num_qubits_3,64.0,43.0,12.0,76.0,0.0,0.0,-0.04533505439758301,11.0
115,tpar,50.0,3.0,default/qubits/i_16_num_qubits_3,40.0,36.0,4.0,44.0,0.0,0.0,-0.0432591438293457,17.0
116,voqc,50.0,3.0,default/qubits/i_16_num_qubits_3,51.0,43.0,4.0,55.0,0.0,0.0,-0.04356193542480469,9.0
117,qfast,50.0,3.0,default/qubits/i_16_num_qubits_3,27.0,26.0,17.0,44.0,0.0,0.0,-0.10057950019836426,7.0
118,pyzx,50.0,3.0,default/qubits/i_16_num_qubits_3,36.0,27.0,4.0,40.0,0.0,0.0,-0.04166817665100098,11.0
119,default,50.0,3.0,default/qubits/i_17_num_qubits_3,61.0,41.0,11.0,72.0,0.0,0.0,-0.04471254348754883,13.0
120,tket,50.0,3.0,default/qubits/i_17_num_qubits_3,42.0,29.0,8.0,50.0,0.0,0.0,-0.04286623001098633,8.0
121,qiskit,50.0,3.0,default/qubits/i_17_num_qubits_3,59.0,41.0,11.0,70.0,0.0,0.0,-0.044541120529174805,11.0
122,tpar,50.0,3.0,default/qubits/i_17_num_qubits_3,66.0,46.0,5.0,71.0,0.0,0.0,-0.04561591148376465,24.0
123,voqc,50.0,3.0,default/qubits/i_17_num_qubits_3,74.0,54.0,5.0,79.0,0.0,0.0,-0.04543662071228027,11.0
124,qfast,50.0,3.0,default/qubits/i_17_num_qubits_3,22.0,33.0,23.0,45.0,0.0,0.0,-0.10199880599975586,7.0
125,pyzx,50.0,3.0,default/qubits/i_17_num_qubits_3,48.0,34.0,5.0,53.0,0.0,0.0,-0.04237842559814453,14.0
126,default,50.0,3.0,default/qubits/i_18_num_qubits_3,58.0,41.0,16.0,74.0,0.0,0.0,-0.04417896270751953,8.0
127,tket,50.0,3.0,default/qubits/i_18_num_qubits_3,44.0,29.0,10.0,54.0,0.0,0.0,-0.10214447975158691,7.0
128,qiskit,50.0,3.0,default/qubits/i_18_num_qubits_3,58.0,41.0,16.0,74.0,0.0,0.0,-0.04579520225524902,8.0
129,tpar,50.0,3.0,default/qubits/i_18_num_qubits_3,61.0,46.0,10.0,71.0,0.0,0.0,-0.04562568664550781,20.0
130,voqc,50.0,3.0,default/qubits/i_18_num_qubits_3,70.0,54.0,10.0,80.0,0.0,0.0,-0.04578757286071777,8.0
131,qfast,50.0,3.0,default/qubits/i_18_num_qubits_3,36.0,40.0,21.0,57.0,0.0,0.0,-0.046730995178222656,9.0
132,pyzx,50.0,3.0,default/qubits/i_18_num_qubits_3,65.0,51.0,10.0,75.0,0.0,0.0,-0.0434262752532959,17.0
